0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;Средняя оценка;20_похожих
Зловещие мертвецы 3: Армия тьмы;Ужасы;Фэнтези;Сверхъестественные;Классика (до 2000 года);7.633;2909;Army of Darkness;7.4;6.5;;;;;;;;;;7.2;"Оборотень;Коралина в стране кошмаров;Коралина в Стране Кошмаров;Пожиратель душ;Пустой дом;Злой дух Ямбуя;Носферату: Призрак ночи;Вий;Хребет дьявола;Зловещие мертвецы;Мальчик-оборотень;Кука;Американский оборотень в Лондоне;Охотник на вампиров Ди: Жажда крови;Песочный человек;Сонная лощина;Ведьма;Призрак виллы Натхов;Калейдоскоп ужасов;Интервью с вампиром"
Слушатель;Ужасы;Триллер;Психологические;Новинки (2020–2025);7.601;208105;;6.8;0;;;;;;;;;;7.2;"Сияние;Ребенок Розмари;Челюсти;Отвращение;Медсестра;Птицы;Прочь;Другие;Ночной гость;Замороженный;Пила: Игра на выживание;Карнавал душ;Солнцестояние;Отчим;1408;Не дыши;Человек у окна;Игра Джеральда;Игры мотыльков;Соблазнитель"
Доктор Джекилл и мистер Хайд;Ужасы;Фантастика;Психологические;Классика (до 2000 года);7.47;38897;Dr. Jekyll and Mr. Hyde;7.6;8.5;;;;;;;;;;7.9;"Артефакт;Нечто;Муха;Излечить страх;Части тела;Муха;Муха;Муха;Голова-ластик;Муха;Муха;Тихое место;Видеодром;Лестница Иакова;Тихое место 2;Человек-невидимка;Мы;Оно приходит за тобой;Треугольник;Лекарство против страха"
Ученик чудовища;Ужасы;Криминал;Кровавые слэшеры;Новинки (2020–2025);8.257;885317;Bakemono no ko;7.6;7.3;;;;;;;;;;7.7;"Последняя жертва;Последний дом слева;Иччи;Я плюю на ваши могилы 3;Искатели могил 2;Лики смерти;Продавец игрушек;Зверобой;Маньяк;Квест;Убойные каникулы;Техасская резня бензопилой;28 дней спустя;Крик;Белый плен;Охотник на людей;Грайндхаус;Реаниматор;Связи нет;Рассвет мертвецов"
Топор;Ужасы;Комедия;Кровавые слэшеры;Современное кино (2000–2020);6.692;1043843;;0;0;;;;;;;;;;6.7;"Убойные каникулы;Кокаин;В чужой шкуре;Операция «Мертвый снег» 2;Люди под лестницей;Последние девушки;Операция «Мертвый снег»;Злая шутка;Паршивая овца;Няня: Королева проклятых;2001 маньяк;WTF! Какого черта?;Бобры-зомби;Кутис;С днем смерти;Ужасвин;Пираньи 3DD;Зловещие мертвецы 2;Гремлины;Бал вампиров"
Оборотни;Ужасы;Фэнтези;Сверхъестественные;Новинки (2020–2025);5.948;4611;Cursed;5.1;3.7;;;;;;;;;;4.9;"Оборотень;Коралина в стране кошмаров;Коралина в Стране Кошмаров;Пожиратель душ;Пустой дом;Злой дух Ямбуя;Носферату: Призрак ночи;Вий;Хребет дьявола;Зловещие мертвецы;Мальчик-оборотень;Кука;Американский оборотень в Лондоне;Охотник на вампиров Ди: Жажда крови;Песочный человек;Зловещие мертвецы 3: Армия тьмы;Сонная лощина;Ведьма;Призрак виллы Натхов;Калейдоскоп ужасов"
Бобры-зомби;Ужасы;Комедия;Кровавые слэшеры;Современное кино (2000–2020);4.868;746200;Zombeavers;4.8;5.9;;;;;;;;;;5.2;"Убойные каникулы;Кокаин;В чужой шкуре;Топор;Операция «Мертвый снег» 2;Люди под лестницей;Последние девушки;Операция «Мертвый снег»;Злая шутка;Паршивая овца;Няня: Королева проклятых;2001 маньяк;WTF! Какого черта?;Кутис;С днем смерти;Ужасвин;Пираньи 3DD;Зловещие мертвецы 2;Гремлины;Бал вампиров"
Мешок без дна;Ужасы;Фантастика;Сверхъестественные;Новинки (2020–2025);6.745;1046009;;6.3;0;;;;;;;;;;6.5;"Последний киносеанс;Ходячие мертвецы;Ночь живых мертвецов;Невеста Франкенштейна;Невинные;Кошмар на улице Вязов;Пакет;Исполнение желаний;Франкенштейн;Поезд в Пусан;Живая мертвечина;Оно;Запределье;Дрожь земли;Дети дождя;Доктор Сон;Хижина в лесу;Последний человек на Земле;Жажда;Впусти меня. Сага"
Нечто;Ужасы;Фантастика;Психологические;Классика (до 2000 года);7.937;8366;The Thing;8.2;7.5;;;;;;;;;;7.9;"Артефакт;Доктор Джекилл и мистер Хайд;Муха;Излечить страх;Части тела;Муха;Муха;Муха;Голова-ластик;Муха;Муха;Тихое место;Видеодром;Лестница Иакова;Тихое место 2;Человек-невидимка;Мы;Оно приходит за тобой;Треугольник;Лекарство против страха"
Абатуар. Лабиринт страха;Ужасы;Детектив;Сверхъестественные;Современное кино (2000–2020);4.375;470155;Abattoir;4.5;4.5;;;;;;;;;;4.5;"Песочник;Телесеть;Заклятие;Сонная Лощина;Именины;Звонок;Тайный Санта;Игра в правду;Беспокойная Анна;Недетский дом;Истории призраков;Королевство;Дом на другой стороне;Дьявол;Тайна темной комнаты;Пустой человек;Пионеры-герои;Мешок с костями;Нужные вещи;Проклятый дом"
